"id_evento","data_publicacao","fonte","titulo","pagina","municipio","localidade","tipo_camada","dimensao_analitica","tipo_relacao_variavel","codigo_variavel","nivel_criticidade","observacao","nota_analista","cod_loteamento","nivel_confianca_loteamento","papel_no_ciclo","id_caso_pressao","entra_ipst","relevancia_estrategica","data_classificacao","_qrt_aproximacao_variavel","_linha_suspeita","_arquivo","_qrt_data_edicao","_qrt_numero_edicao","_qrt_evento_id","_qrt_relevancia","_qrt_descricao_evento","_qrt_fonte_arquivo","_qrt_status_validacao","_qrt_data","_qrt_item","_qrt_resumo","_qrt_origem","_qrt_municipio_impactado","_qrt_tipo_abrangencia","_qrt_\xEF\xBB\xBF""id_evento"""
"TL_20251231_001","2025-12-31","Tribuna Liberal","Balanço anual — 4 feminicídios em Hortolândia","4","Hortolândia","Regional","PRESSAO_SOCIAL","capital_humano","direta","SMIDS_EXT","alerta","dado_auditavel","Evento com mensuração clara de violência de gênero na RMC com concentração em Hortolândia. Não existe variável IVS direta mas fenômeno possui forte correlação com dimensões de capital humano e estrutura familiar. Avaliar futura criação de proxy para violência doméstica no IVS-H. 4 casos em Hortolândia de 8 regionais = 33% macro-Campinas.","nao_identificado","baixo","emergencia","CH_VIOLENCIA_GENERO_2025","sim","alta","2025-12-31","","","2025_12_31_tribuna_liberal.csv","","","","","","","","","","","","","",""
"TL_20251231_002","2025-12-31","Tribuna Liberal","PM apreende 174kg maconha — Jd. Santiago","9","Hortolândia","Jardim Santiago","PRESSAO_SOCIAL","capital_humano","indireta","SMIDS_EXT","alta","sinal_smids_ext","Proxy de atividade criminal territorializada. Candidato a revisão para tipo_relacao=direta em próxima atualização se série histórica for viável. Confirmar codbairro Jardim Santiago.","nao_identificado","baixo","emergencia","","avaliar","media","2025-12-31","","","2025_12_31_tribuna_liberal.csv","","","","","","","","","","","","","",""
"TL_20251231_003","2025-12-31","Tribuna Liberal","Homicídio — Jd. Campos Verdes","9","Hortolândia","Jardim Campos Verdes","PRESSAO_SOCIAL","capital_humano","direta","SMIDS_EXT","alerta","dado_auditavel","Violência letal — nunca contextual (R21). Vítima em saída temporária do sistema prisional. Homicídio é mensurável e tem série histórica possível. Confirmar codbairro Jardim Campos Verdes.","nao_identificado","baixo","emergencia","","avaliar","media","2025-12-31","","","2025_12_31_tribuna_liberal.csv","","","","","","","","","","","","","",""
"TL_20251231_004","2025-12-31","Tribuna Liberal","Violência doméstica mútua — Parque dos Pinheiros","9","Hortolândia","Parque dos Pinheiros","PRESSAO_SOCIAL","capital_humano","indireta","SMIDS_EXT","alta","aproximacao_variavel","Proxy de violência doméstica. Flagrante PM = ação do Estado mas o evento em si é pressão social. Homem internado com perfuração pulmonar. Confirmar codbairro Parque dos Pinheiros.","nao_identificado","baixo","emergencia","CH_VIOLENCIA_GENERO_2025","avaliar","media","2025-12-31","CH_04","","2025_12_31_tribuna_liberal.csv","","","","","","","","","","","","","",""
"TL_20251231_005","2025-12-31","Tribuna Liberal","Impostômetro — Hortolândia lidera região com R$398.5mi","5","Hortolândia","Regional","CONTEXTO","renda_trabalho","contextual","SMIDS_EXT","media","dado_auditavel","Dado auditável Impostômetro/ACSP. Pressão tributária sobre renda disponível das famílias. Contexto econômico estrutural sem ação do Estado e sem pressão social direta.","nao_aplicavel","baixo","nao_aplicavel","","nao","media","2025-12-31","","","2025_12_31_tribuna_liberal.csv","","","","","","","","","","","","","",""
"TL_20251231_006","2025-12-31","Tribuna Liberal","Prefeito Zezé Gomes avalia gestão 2025","7","Hortolândia","Regional","GOVERNANCA","capital_humano","indireta","GOV_MUNICIPAL","baixa","contexto_sociopolitico","Balanço de gestão sem gatilho de pressão identificável. Cita urbanização saneamento saúde educação e Microsoft. GOVERNANCA estrutural — R22: não é resposta a evento específico.","nao_aplicavel","baixo","nao_aplicavel","","nao","media","2025-12-31","","","2025_12_31_tribuna_liberal.csv","","","","","","","","","","","","","",""
"TL_20251231_007","2025-12-31","Tribuna Liberal","Operação Tapa-Buraco nas avenidas","7","Hortolândia","Regional","GOVERNANCA","infraestrutura_urbana","indireta","GOV_MUNICIPAL","baixa","interface_iu","Ação recorrente de manutenção viária. 80-100 buracos/dia. Avenidas Emancipação Santana Anhanguera Franceschini. Ação estrutural de rotina — R22: sem gatilho de pressão identificável.","nao_aplicavel","baixo","nao_aplicavel","","nao","media","2025-12-31","","","2025_12_31_tribuna_liberal.csv","","","","","","","","","","","","","",""
"","","","Moradores de Hortolandia voltam a protestar contra mau cheiro da ETE Jatoba","1/4","Hortolândia","Jd. Jatoba / Res. Franceschini","PRESSAO_SOCIAL","infraestrutura_urbana","direta","SMIDS_EXT","alta","dado_auditavel","Segunda manifestacao contra ETE Jatoba. Sabesp anunciara obras emergenciais ago/2025 (R$28M; prazo set/2025) e nova ETE selada para 2027. Mais de 15 bairros afetados; Jd. Jatoba e Res. Franceschini citados. Impacto documentado: saude; bem-estar e comercio local. R20 satisfeita: materia documenta progressao temporal (anos de reclamacoes; promessas descumpridas). Interface IU_01/IU_02. Chamada de capa p.1; materia completa p.4. | edicao=9642","","","agravamento","IU_ETE_JATOBA_2025","sim","","","","","2026_01_03_tribuna_liberal.csv","","","","","Moradores de Hortolandia voltam a protestar contra mau cheiro da ETE Jatoba","","IVS_restante_corrigido_v10_5","","","","","","",""
"","","","Sabesp aplica nova tarifa de agua e esgoto em Hortolandia a partir de 1 jan 2026","4","Hortolândia","nao_identificado","PRESSAO_SOCIAL","renda_trabalho","direta","SMIDS_EXT","media","dado_auditavel","""Tarifa residencial media: R$6,40/m3 (vigencia 1jan2026). Sabesp contrasta com R$7,36 projetado no modelo estatal anterior (-15%). Pressao sobre orcamento familiar dos beneficiarios CadUnico. Contexto analitico: coincide com persistencia do odor ETE Jatoba (E1) — populacao paga mais por servico cuja qualidade nao melhorou. R23: recorrencia anual de reajustes. Serie estruturavel por semestre. | edicao=9642""","","","agravamento","RT_TARIFAS_SABESP_2026","sim","","","","","2026_01_03_tribuna_liberal.csv","","","","","Sabesp aplica nova tarifa de agua e esgoto em Hortolandia a partir de 1 jan 2026","","IVS_restante_corrigido_v10_5","","","","","","",""
"","","","Policia Civil apura morte de bebe de um mes no Hospital Municipal de Hortolandia","4","Hortolândia","nao_identificado","PRESSAO_SOCIAL","capital_humano","direta","SMIDS_EXT","alerta","dado_auditavel","Bebe masculino; 1 mes e 23 dias; entrada sem sinais vitais no HM Mario Covas em 31/12/2025. Hipotese medica: broncoaspiracao. BO registrado; corpo encaminhado ao IML de Americana. R21 aplicado: morte verificada → nunca contextual → direta. R25: evento individual aceito como proxy de mortalidade infantil (fenomeno coletivo estrutural) — condicional. Monitorar recorrencia; promover entra_ipst a sim se falha sistemica no cuidado neonatal for confirmada. | edicao=9642","","","emergencia","","avaliar","","","","","2026_01_03_tribuna_liberal.csv","","","","","Policia Civil apura morte de bebe de um mes no Hospital Municipal de Hortolandia","","IVS_restante_corrigido_v10_5","","","","","","",""
"","","","Tarifas do transporte metropolitano sofrem reajuste e impactam regiao","3","Regional","Regional","CONTEXTO","infraestrutura_urbana","direta","SMIDS_EXT","media","dado_auditavel | IVS -> CONTEXTO: tarifa metropolitana/regional","""Vigencia 6jan2026. Hortolandia-Campinas: R$6,50; Monte Mor-Hortolandia-Campinas: R$6,70. Afeta populacao CadUnico no deslocamento trabalho-residencia. Candidato canonico Condicao B: impacto coletivo + mensuracao + serie anual. Analogo ao E18 do corpus dez/2025-jan/2026 (referencia canonica Secao 24 v10.2). IU_03 como aproximacao de proxy de custo de mobilidade urbana. | edicao=9642""","","","agravamento","IU_TRANSPORTE_METROPOLITAN_2025","sim","","","","","2026_01_03_tribuna_liberal.csv","","","","","Tarifas do transporte metropolitano sofrem reajuste e impactam regiao","","IVS_restante_corrigido_v10_5","","","","","","",""
"","","","Charge - Salario minimo passou a ser R$ 1.621","1","Hortolândia","nao_identificado","CONTEXTO","renda_trabalho","direta","RT_01","baixa","dado_auditavel | IVS -> CONTEXTO: charge/dado macroeconomico","Salario minimo nacional jan/2026: R$1.621. Input direto para calibracao de RT_01 (renda per capita CadUnico). Charge ironiza o reajuste como insuficiente ('passinho pra frente'). Nao gera ciclo local de pressao; alimenta o modelo IVS-H como dado estrutural. R22 nao se aplica (IVS; nao GOVERNANCA). | edicao=9642","","","nao_aplicavel","","nao","","","","","2026_01_03_tribuna_liberal.csv","","","","","Charge - Salario minimo passou a ser R$ 1.621","","IVS_restante_corrigido_v10_5","","","","","","",""
"","","","Alertas da Defesa Civil entram na rotina e contribuem com prevencao de desastres","3","Regional","Regional","GOVERNANCA","infraestrutura_urbana","indireta","GOV_ESTADUAL","baixa","dado_auditavel","Cell Broadcast ativo desde dez/2024. 216 alertas no primeiro ano; pico fev/2025 (59 alertas). 6.800 disparos SMS no Estado. R22 satisfeita: acao preventiva estrutural sem gatilho de pressao especifico. Relevancia para Hortolandia: municipio sujeito a temporais com impacto sobre saneamento e mobilidade (interface IU). | edicao=9642","","","nao_aplicavel","","nao","","","","","2026_01_03_tribuna_liberal.csv","","","","","Alertas da Defesa Civil entram na rotina e contribuem com prevencao de desastres","","IVS_restante_corrigido_v10_5","","","","","","",""
"","","","Homem morre depois de atropelamento na Rodovia Zeferino Vaz em Paulinia","7","Paulínia","Regional","PRESSAO_SOCIAL","capital_humano","direta","SMIDS_EXT","alerta","dado_auditavel","Vitima: homem 57 anos; ciclista; km 119 SP-332; atropelado em trecho de baixa iluminacao em 31/12/2025. Motorista sem alcool; veiculo recolhido por falta de licenciamento. Bicicleta apreendida; familiares acionados. R21: morte → nunca contextual → direta. R14 satisfeita: trabalhadores de Hortolandia utilizam SP-332 no deslocamento trabalho-residencia (perfil CadUnico). Ciclo CH_MORTES_TRANSITO_REGIONAL_2025 iniciado; ver E4 corpus 26/04/2026 para contexto de queda posterior. | edicao=9642","","","emergencia","CH_MORTES_TRANSITO_REGIONAL_2025","sim","","","","","2026_01_03_tribuna_liberal.csv","","","","","Homem morre depois de atropelamento na Rodovia Zeferino Vaz em Paulinia","","IVS_restante_corrigido_v10_5","","","","","","",""
"","","","Artur inaugura 2026 como 1o bebe nascido em Hortolandia","6","Hortolândia","Jardim Amanda 2","CONTEXTO","capital_humano","contextual","SMIDS_EXT","baixa","caso_ilustrativo","Narrativa celebratoria. Mae: Syang Vitoria; 23 anos; Jardim Amanda 2. Relevancia territorial: confirma populacao jovem em loteamento de alta concentracao CadUnico (dados internos SMIDS). Perfil de risco potencial: mae de 23 anos com neonato = familia candidata a beneficios. Nao gera ciclo de pressao; mantido por valor de rastreabilidade territorial. | edicao=9642","","","nao_aplicavel","","nao","","","","","2026_01_03_tribuna_liberal.csv","","","","","Artur inaugura 2026 como 1o bebe nascido em Hortolandia","","IVS_restante_corrigido_v10_5","","","","","","",""
"TL_20260104_001","2026-01-04","Tribuna Liberal","Justica manda reu para Tribunal do Juri por matar mulher na presenca dos proprios filhos em Hortolandia","1/4","Hortolândia","nao_identificado","PRESSAO_SOCIAL","capital_humano","direta","SMIDS_EXT","alerta","dado_auditavel","Femicidio de Jacira Martins dos Santos; executada a tiros dentro de casa na presenca do marido e dos filhos. Acusado: ex-parceiro; motivo futil (inconformismo com fim do relacionamento). 2a Vara Criminal: provas de materialidade (BO; laudos periciais; necropsia; analise de municoes); indícios de autoria solidos; prisao preventiva mantida. Dois qualificadores: motivo futil + recurso que impediu defesa. R21: violencia letal → nunca contextual → direta. Data exata do crime nao identificada na materia; decisao judicial jan/2026. Segundo caso confirmado do ciclo CH_VIOLENCIA_GENERO_2025. | edicao=9643","nao_identificado","baixo","agravamento","CH_VIOLENCIA_GENERO_2025","sim","alta","2026-01-04","","","2026_01_04_tribuna_liberal.csv","","","","","","","","","","","","","",""
"TL_20260104_002","2026-01-04","Tribuna Liberal","Ana Perugini garante R$ 6 mi para saude de Hortolandia e faz historia","1/5","Hortolândia","nao_identificado","GOVERNANCA","capital_humano","indireta","GOV_ESTADUAL","baixa","dado_auditavel","""Emendas parlamentares de Ana Perugini (PT-SP): R$6M custeio saude + R$253,3k cultura + R$246,6k assistencia social = R$6,5M para Hortolandia. Monte Mor: R$1,5M (saude). Nova Odessa: R$300k. Total estado: R$13,3M. R22 satisfeita: Frente Parlamentar Sistema Cross/SUS criada 2023; 10 audiencias publicas (7 em 2025; 1 em Hortolandia); pressao identificada = fila de espera consultas/exames/cirurgias SUS. Complementar: abertura da 1a sala fisica da Procuradoria Especial das Mulheres (Alesp) em 25/nov/2025 — resposta institucional ao ciclo CH_VIOLENCIA_GENERO_2025. Dados no Portal Transparencia SP. | edicao=9643""","nao_identificado","baixo","resposta","CH_FILA_SUS_2025","nao","media","2026-01-04","","","2026_01_04_tribuna_liberal.csv","","","","","","","","","","","","","",""
"TL_20260104_003","2026-01-04","Tribuna Liberal","Hortolandia entrega quase 5.6 mil kits de maternidade — Programa Cuidar","4","Hortolândia","Remanso Campineiro","GOVERNANCA","capital_humano","indireta","GOV_MUNICIPAL","baixa","dado_auditavel","Programa Cuidar (Prefeitura Hortolandia): 5.586 kits entregues out/2022–dez/2025; 160 kits em dezembro/2025 (2 para gestantes de gemeos); 220 participantes na cerimonia. Secretarias envolvidas: SMIDS (acompanhamento mensal) + Saude (projeto Amigos do Peito). Unidades territoriais mencionadas: cerimonia na EMEF Prof. Marleciene P. Presta Bonfim (Remanso Campineiro); pre-natal no CAISM (Jd. Green Park) e UBS (Pq. Orestes Ongaro); moradora citada do Jd. Nova America. Relevancia SMIDS: Secretaria de Inclusao e co-participante ativa; este programa confirma capilaridade territorial de Hortolandia em saude materno-infantil. | edicao=9643","remanso_campineiro","alto","nao_aplicavel","","nao","media","2026-01-04","","","2026_01_04_tribuna_liberal.csv","","","","","","","","","","","","","",""
"TL_20260104_004","2026-01-04","Tribuna Liberal","Regiao encerra 2025 com aumento de mortes e casos do virus Influenza","1/8","Regional","Regional","PRESSAO_SOCIAL","capital_humano","direta","SMIDS_EXT","alta","dado_auditavel","""Balanco regional 2025: 33 mortes e 280 casos em 6 cidades; +22,2% nos obitos vs ago/2025 (27→33). Hortolandia: 5 mortes e 45 casos. Ranking regional mortes: Sumare=8; Americana=8; Paulinia=8; Monte Mor=4; Hortolandia=5; Nova Odessa=0. Ranking casos: Americana=73; Sumare=61; Paulinia=49; Hortolandia=45; Nova Odessa=33; Monte Mor=19. R20: progressao documentada na propria materia (27 em ago → 33 no fechamento). Especialistas alertam continuidade no verao. Vacinacao disponivel nas UBSs de Hortolandia. Serie anual estruturavel. | edicao=9643""","nao_identificado","baixo","agravamento","CH_INFLUENZA_REGIONAL_2025","sim","alta","2026-01-04","","","2026_01_04_tribuna_liberal.csv","","","","","","","","","","","","","",""
"TL_20260104_005","2026-01-04","Tribuna Liberal","Populacao deve redobrar cuidados contra Aedes em Hortolandia","8","Hortolândia","nao_identificado","PRESSAO_SOCIAL","capital_humano","direta","SMIDS_EXT","alta","dado_auditavel","ADL fim de 2025 realizada pela UVZ (Secretaria de Saude). Indice de Breteau: 5.2 (alto; 5.5 em 2024). Equipes constataram grande numero de larvas em residencias. GOV_MUNICIPAL: projeto-piloto armadilhas Aedes ativo desde marco/2025 (Min. Saude); vacinacao para 6-16 anos disponivel nas UBSs. Relacao causal com E3 da ed. 9642 (87 casos reportados no dia seguinte): ADL e o dado entomologico que explica a explosao de casos. Interface com IU: agua parada relacionada a saneamento inadequado. Descarte em PEVs e LEVs promovido como resposta preventiva. | edicao=9643","nao_identificado","baixo","agravamento","CH_DENGUE_2026","sim","alta","2026-01-04","","","2026_01_04_tribuna_liberal.csv","","","","","","","","","","","","","",""
"TL_20260104_006","2026-01-04","Tribuna Liberal","Apos acoes de preservacao; Sistema Cantareira se mantém acima de 20%","6","Regional","Regional","PRESSAO_SOCIAL","infraestrutura_urbana","direta","SMIDS_EXT","alta","dado_auditavel","Cantareira: 20.18% do volume util em jan/2026; limite minimo 20%. Faixa 4 de Restricao mantida (ANA + SP Aguas). Contexto: 2025 = pior ano de chuvas em 10 anos; consumo de agua +60% pelo calor intenso. Sabesp: R$300M em obras; bombeamento do Itapanhaú (+17% no Alto Tiete; 22M pessoas beneficiadas). SIM: reducao noturna de pressao economizou 57 bilhoes de litros. Relevancia para Hortolandia: municipio abastecido pelo sistema Sabesp/Cantareira; impacto desproporcional sobre populacao CadUnico em territorios com menor resiliencia hidrica. Interface direta com E2 da ed. 9642 (tarifa de agua sobe no mesmo cenario de restricao). | edicao=9643","nao_identificado","baixo","agravamento","IU_ESCASSEZ_HIDRICA_2025","sim","alta","2026-01-04","IU_01","","2026_01_04_tribuna_liberal.csv","","","","","","","","","","","","","",""
"TL_20260107_001","2026-01-07","Tribuna Liberal","Feminicidio de Rayana Raissa Albuquerque de Matos; 21 anos; em Hortolandia — relatado em Carta Aberta da Procuradoria Especial das Mulheres ALESP","2","Hortolândia","nao_identificado","PRESSAO_SOCIAL","capital_humano","direta","SMIDS_EXT","alerta","dado_auditavel","Rayana Raissa Albuquerque de Matos; 21 anos; assassinada dentro de casa na presenca do proprio filho. Fonte: Carta Aberta institucional da Procuradoria Especial das Mulheres (Alesp); Ana Perugini; publicada na ed. 9645. R21: violencia letal → nunca contextual → direta. Terceiro caso no ciclo CH_VIOLENCIA_GENERO_2025 (E1 ed.9643 = Jacira Martins; E1 ed.9645 = Rayana). Crime posterior ao fechamento do corpus desta semana; data exata nao identificada. Carta nomeia o caso como 'nao episodio isolado' — sinal de sistematicidade reconhecida institucionalmente. | edicao=9645","nao_identificado","baixo","agravamento","CH_VIOLENCIA_GENERO_2025","sim","alta","2026-01-07","","","2026_01_07_tribuna_liberal.csv","","","","","","","","","","","","","",""
"TL_20260107_002","2026-01-07","Tribuna Liberal","Omissao GOV_ESTADUAL: 70% do orcamento para politicas de mulheres nao executado em 2025 em SP","2","Hortolândia","nao_identificado","PRESSAO_SOCIAL","capital_humano","direta","SMIDS_EXT","alta","dado_auditavel","70% do orcamento da Secretaria de Politicas para a Mulher (SP) nao executado em 2025. DDMs operando apenas em horario comercial (violacao da lei federal que exige 24h). Programas de acolhimento; protecao; capacitacao e autonomia economica paralisados ou subfinanciados. Fonte: Carta Aberta institucional Procuradoria Especial Mulheres (Alesp). Secao 21 v10.2: PRESSAO_SOCIAL (tratamento de PRESSAO_INSTITUCIONAL → omissao sistemica que amplifica ciclo CH_VIOLENCIA_GENERO). Dado auditavel pelo Portal Transparencia SP. R23: % de execucao orcamentaria e agregavel em serie anual. | edicao=9645","nao_identificado","baixo","agravamento","CH_VIOLENCIA_GENERO_2025","sim","alta","2026-01-07","","","2026_01_07_tribuna_liberal.csv","","","","","","","","","","","","","",""
