d.nom_localidade_fam;total;fora_escola;ch02_pct
JARDIM NOSSA AUXILIADORA;3;2;0.6666666666666666
SANTA CLARA DO LAGO;3;2;0.6666666666666666
NOVA ALVORADA;3;2;0.6666666666666666
JARDIM NOVA HOORTOLANDIA;2;2;1.0
JARDIM STELLA;4;2;0.5
JARDIM LARANJEIRAS;6;2;0.3333333333333333
JARDIM FIRENZE;4;2;0.5
RESIDENCIAL BELLA VILLE;2;2;1.0
NOVO HORIZONTE;2;2;1.0
NUCLEO SANTA ISABEL;2;2;1.0
RESIDENCIAL FIRENZE;2;2;1.0
JARDIM DO BRAZ;5;2;0.4
JARDIM REMANSO CAMPINEIRO;3;2;0.6666666666666666
SAO JORGE;2;2;1.0
JARDIM CARMER CRISTINA;2;2;1.0
VILA IPE;2;2;1.0
BOA ESPERANCA;3;2;0.6666666666666666
RESIDENCIAL PARQUE NOVO ANGULO;2;1;0.5
JD MALTA;1;1;1.0
JRDIM MONTE SINAI;1;1;1.0
JD NOVO HORIZONTE;1;1;1.0
JRDIM NOSSA SENHORA AUXILIADORA;1;1;1.0
SAO MIGUEL;1;1;1.0
RESIDENCIAL BELLAVILLE;3;1;0.3333333333333333
JRDIM SAO SEBASTIAO;1;1;1.0
NVO ANGULO;1;1;1.0
PQ DOS PINHEIROS;2;1;0.5
PARQUE VASCONCELLOS;2;1;0.5
PARQUE TERRA SANTA MARIA;2;1;0.5
PARQUE SANTA MARIA;1;1;1.0
PARQUE OLIVIO FRANCESCHINI;2;1;0.5
PARQUE HORIZONTE;2;1;0.5
ORESTE ONGARO;1;1;1.0
NUCLEO RESIDENCIAL FURLA;1;1;1.0
LOT NOVO ANGULO;2;1;0.5
NOVA EUROPA;2;1;0.5
RESIDENCIAL EUROPA;4;1;0.25
NOSSA SENHORA AUXILIADORA;1;1;1.0
MOVA AMERICA;1;1;1.0
MONTEI SINAI;1;1;1.0
LOTEAMENTO JARDIM NOVO ANGULO;1;1;1.0
LOTEAMENTE NOVA ALVORADA;2;1;0.5
JD AUXILIADORA;1;1;1.0
PQRQUE ORESTES ONGARO;2;1;0.5
JD AMANDA 1;1;1;1.0
CHACARAS LUZITANA;2;1;0.5
JD AMANDA;1;1;1.0
JARDIM DAS LARANEJIRAS;2;1;0.5
JARDIM CAMPOS VERDE;2;1;0.5
JARDIM CAMOPS VERDES;1;1;1.0
JARDIM BOA ESPERENCA;1;1;1.0
VILA REAL CONINUACAO;1;1;1.0
JARDIM AMNDA II;1;1;1.0
JARDIM AMNAD I;2;1;0.5
JARDIM AMANAD I;1;1;1.0
JADIM DAS FIGUEIRAS;1;1;1.0
ESTRELA;1;1;1.0
CONDOMINIO RESIDENCIAL VILA FLORA;1;1;1.0
CHACARAS NOVA BOA VISTA;2;1;0.5
CHACARAS FAZENDO COELHO;3;1;0.3333333333333333
JARDIM FIGUEIRAS 1;1;1;1.0
CHACARAS DE RECREIO 2000;1;1;1.0
CHACARAS ACARAY;1;1;1.0
CHACARAS ACARAI;4;1;0.25
CHACARA RECREIO ALVIRADA;2;1;0.5
CHACARA RECREIO 2000;2;1;0.5
CHACARA HAVAI;1;1;1.0
CHACARA BOA VISTA;1;1;1.0
CHACARA ALVORADA;1;1;1.0
VILE REAL CONTINUACAO;1;1;1.0
CAMPOS VERDES;1;1;1.0
VILLA FLORA;1;1;1.0
AUXILIADORA;1;1;1.0
AMANDA;1;1;1.0
JARDIM EVERESTE;1;1;1.0
JARDIM DAS PAINEIRAS;3;1;0.3333333333333333
SAO CAMILO;1;1;1.0
JARDIM SAO BENEDITO;1;1;1.0
SANTA CLARA;1;1;1.0
JARDIM SANTA RITA DOS PINHEIROS;1;1;1.0
JARDIM STEFANIA;1;1;1.0
JARDIM SANTA CLARA DO LAGO CONT;1;1;1.0
JARDIM SANTA CLARA DO LAGO 2;1;1;1.0
JARDIM VILA REAL;1;1;1.0
SAO BENTO 2;1;1;1.0
JARDIM FIGUEIRAS I;1;1;1.0
JARDIM RECANTO DO SOL;1;1;1.0
JARDIM PAULISTINHA;3;1;0.3333333333333333
RECANTO DA SOL;1;1;1.0
SANTA AMELIA;1;1;1.0
JARIM NOVA HORTOLANDIA;1;1;1.0
SAO SEBASTIAO;4;1;0.25
SUMAREZINHO;4;1;0.25
JARDIM NOVA AMAERICA;1;1;1.0
JARDIM NOSSA SENHORA AUXILIHADORA;1;1;1.0
JARDIM MSANTA CLARA DO LAGO;1;1;1.0
JARDIM MIRANTE SUMARE;1;1;1.0
TAQUARA BRANCA;1;1;1.0
JARDIM IPE;1;1;1.0
TERRA DE SANTA MARIA;1;1;1.0
TERRAS DE SANTA DE MARIA;2;1;0.5
JARDIM FIGUEIRAS II;1;1;1.0
JARDIM SAO;1;1;1.0
REMANSO;1;0;0.0
VIL REAL;1;0;0.0
VILAREAL;1;0;0.0
SANTA FE;2;0;0.0
RES FURLAN;1;0;0.0
SAO BENTO;1;0;0.0
RESIDENCIA JOAO LUIZ;1;0;0.0
VILA REALCONTINUACAO;2;0;0.0
ADIVENTISTA CAMPINEIRO;2;0;0.0
JARDIM SANTA ISABEL;1;0;0.0
PQ PINHEIROS;1;0;0.0
JARDIM BOA ESPERNCA;1;0;0.0
JARDIM NOVO ESTRELA 2;1;0;0.0
JARDIM NOVA AMERIA;1;0;0.0
JARDIM LIRIO;1;0;0.0
JARDIM GOLDEN PARK RESIDENCE;1;0;0.0
JARDIM GHIRLDELLI;1;0;0.0
JARDIM FIGUEIRA I;1;0;0.0
JARDIM ESTRELA 2;2;0;0.0
JARDIM DO LIRIO;2;0;0.0
JARDIM DO BRAS;1;0;0.0
JARDIM DAS FIGUEIRAS 1;3;0;0.0
JARDIM CARMEM;1;0;0.0
JARDIM BELLAVILLE;1;0;0.0
JARDIM RES;1;0;0.0
JARDIM AUXILADORA;1;0;0.0
JARDIM ADVENTISTA CAMPINEIRO;1;0;0.0
JARDIIM AMANDA;1;0;0.0
JARDI ESTEFANIA;1;0;0.0
CONDOMINIO RESIDENCIAL VILLA FLORA;1;0;0.0
COLEGIO ADVENTISTA CAMPINEIRO;3;0;0.0
CHACARAS REYMAR;2;0;0.0
CHACARAS ASSAHY;1;0;0.0
CHACARA GROTA AZUL;1;0;0.0
CH N BOA VISTA;1;0;0.0
CAHCARA NOVA BOA VISTA;1;0;0.0
JARDIM NOVO ESTRELA II;2;0;0.0
JARDIM RESIDENCIAL BURITI;2;0;0.0
PQ DO HORTO;1;0;0.0
JD NOVO ANGULO;2;0;0.0
PARQUE RESIDENCIAL MARA DE LOURDES;1;0;0.0
PARQUE RESIDENCIAL JOAO LUIZ;2;0;0.0
PARQUE PINHEIROS;1;0;0.0
PARQUE NOVO HORIZONTE;1;0;0.0
ORESTES ONGARO;2;0;0.0
NOVO ESTRELA;2;0;0.0
NOVO CAMBUI;1;0;0.0
NOV ANGULO;2;0;0.0
LOTEAMENTO REMANSO CAMPINEIRO;3;0;0.0
LOTEAMENTO PRIMAVERA;1;0;0.0
LOTEAMENTO NOVO ANGULO;3;0;0.0
JD MONTE SINAI;1;0;0.0
JARDIM RESIDENCIAL VECCON;1;0;0.0
JD AMANDA II;1;0;0.0
JARDIN NOVO ANGULO;1;0;0.0
JARDIMBOA ESPERANCA;1;0;0.0
JARDIM VILA VERDE;3;0;0.0
JARDIM SO CAMILO;1;0;0.0
JARDIM SNATA CLARA DO LAGO;1;0;0.0
JARDIM SASO BENTO;1;0;0.0
JARDIM SAO SEBESTIAO;1;0;0.0
JARDIM SANTA DOS PINHEIROS;1;0;0.0
JARDIM SANTA CLARA DO LADO CONTINUACAO;1;0;0.0
JARDIM SANTA CLARA 2;1;0;0.0
VL AMERICA;1;0;0.0
