d.nom_localidade_fam;total;analfabetos;ch06_pct
JARDIM DE MONACO;3;0;0.0
JARDIM SAO FRANCISCO;1;0;0.0
JARDIM DA LARANJEIRAS;2;0;0.0
JARDIM DA FIGUEIRAS II;5;0;0.0
JARDIM CARMEM CRSITINA;4;0;0.0
JARDM SANTA FE;4;0;0.0
JARIM NOSSA SENHORA AUXILIADORA;2;0;0.0
JARIM AMANDA I;1;0;0.0
JARIDM NOVA EUROPA;1;0;0.0
JARIDM MINDA;4;0;0.0
JARIDM BOA ESPERANCA;2;0;0.0
JARDIM CARMER CRISTINA;5;0;0.0
JARIDIM FIRENZE;1;0;0.0
JARDOM NOSSA SENHORA AUXILIADORA;2;0;0.0
JARDIM COINCEICAO;1;0;0.0
JARDM SANTA RITA DE CASSIA;4;0;0.0
JARDIM COLINAS;2;0;0.0
JARDIM VILA DA CONQUISTA;2;0;0.0
JARDM CAMPOS VERDES;1;0;0.0
JARDIM DA COLINAS;3;0;0.0
JARDIMBOA ESPERANCA;1;0;0.0
JARDIMA AMANDA I;4;0;0.0
JARDIM DA FIGUEIRA 2;1;0;0.0
JARDIM DA FIGUEIRAS 2;1;0;0.0
JARDIM VILLAGIO;1;0;0.0
JARDIM VILAGIO GHIRALDELLI;18;0;0.0
JARDIM VILA VERDE;8;0;0.0
JARDIM VILA REAL;2;0;0.0
5JARDIM AMANDA 1;2;0;0.0
