d.nom_localidade_fam;total;sem_fund;ch07_pct
JARDIM SANTA CLARA DO LADO CONTINUACAO;2;0;0.0
JARDIM SANTO ANDRE;10;0;0.0
JARDIM SANTA RITA DOS PINHEIROS;3;0;0.0
JARDIM SANTA RITA;5;0;0.0
ADVENTISTA CAMP;2;0;0.0
JARDIM SANTA ISABEL;1;0;0.0
JARDIM SANTA CLARA II;1;0;0.0
JARDIM SANTA CLARA DO LAGO CONTINUACAO;4;0;0.0
JARDIM SANTA CLARA DO LAGO CONT;1;0;0.0
JARDIM STEFANIA;1;0;0.0
JARDIM STELLA;9;0;0.0
JARDIM VALLAGIO GHIRALDELLI;1;0;0.0
JARDIM VIAGEM;1;0;0.0
JD DO LAGO;1;0;0.0
JD AUXILIADORA;3;0;0.0
JD AMANDA II;1;0;0.0
JD AMANDA 2;1;0;0.0
JD AMANDA 1;1;0;0.0
JARSIM NOVA EUROPA;1;0;0.0
JARIM NOVA HORTOLANDIA;4;0;0.0
JARIDM NOVA EUROPA;2;0;0.0
JARIDIM FIRENZE;1;0;0.0
JARDM NOSSA SENHORA AUXILIADORA;1;0;0.0
JARDM CAMPOS VERDES;1;0;0.0
JARDIMBOA ESPERANCA;2;0;0.0
JARDIM VILLAGIO;1;0;0.0
JARDIM VILAGIO GHIRALDELLI;4;0;0.0
JARDIM VILA VERDE;6;0;0.0
JARDIM VILA REAL;3;0;0.0
JARDIM VILA DA CONQUISTA;2;0;0.0
JARDIM SANTA CLARA DO LAGO 2;7;0;0.0
JARDIM SANTA CLARA 2;1;0;0.0
JARDIM FIGUEIRAS 2;2;0;0.0
JARDIM LIRIO;1;0;0.0
JARDIM NOVA AMERIA;1;0;0.0
JARDIM NOVA AMAERICA;1;0;0.0
JARDIM NOV0 HORIZONTE;1;0;0.0
JARDIM NOSSA SENHORA DE LOURDES;8;0;0.0
JARDIM NOSSA AUXILIADORA;8;0;0.0
JARDIM NONA EUROPA;3;0;0.0
JARDIM NIOVA HORTOLANDIA;2;0;0.0
JARDIM MSANTA CLARA DO LAGO;1;0;0.0
JARDIM LARANJEIRA;2;0;0.0
JARDIM SANTA CANDIDA;27;0;0.0
JARDIM IPE;1;0;0.0
JARDIM INTERLADOS;1;0;0.0
JARDIM INERLAGOS;1;0;0.0
JARDIM GREEN PARK RESIDENCE;1;0;0.0
JARDIM GOLDEN PARK RESIDENCE;4;0;0.0
JARDIM GIRASOL;1;0;0.0
JARDIM GHIRLDELLI;1;0;0.0
JARDIM FIGUEIRAS II;2;0;0.0
JARDIM NOVA ESTELA;2;0;0.0
JARDIM NOVA ESTRELA II;6;0;0.0
JARDIM NOVA EUROP A;1;0;0.0
JARDIM NOVA HOORTOLANDIA;3;0;0.0
JARDIM SANT CLARA DO LAGO I;2;0;0.0
JARDIM SANT ACLARA DO LAGO;1;0;0.0
JARDIM ROSOLEM;35;0;0.0
JARDIM RESIDENCIAL VECCON;2;0;0.0
JARDIM RESIDENCIAL BURITI;6;0;0.0
JARDIM RES;2;0;0.0
JARDIM REMANSO CAMPINEIRO;6;0;0.0
JARDIM RECANTO DO SOL;3;0;0.0
JARDIM PRIMAVIRA;1;0;0.0
JARDIM PRI;1;0;0.0
JARDIM PAULISTINHA;4;0;0.0
JARDIM PAINEIRAS;1;0;0.0
JARDIM NOVO ESTRELA III;2;0;0.0
JARDIM NOVO ESTRELA 2;1;0;0.0
JARDIM NOVO E;1;0;0.0
JARDIM NOVO AANGULO;1;0;0.0
JARDIM NOVA NOVA HORTOLANDIA;1;0;0.0
VL DA CONQUISTA;1;0;0.0
